count	before	after	example
21	buuoang	buuwang	Maleme a batho, a buuoang bakeng sa mosebetsi oa evangeli
21	noa	nwa	o moo re jang lentsoe le buuoang mme re noa Moya."
21	phethiloeng	phethilweng	u sebedisa mosebetsi o phethiloeng oa sefapano
21	litlotso	ditlotso	Thuto 55 · Mosebetsi oa litlotso — botlalo bo le bong, bo lokolo
20	khatello	kgatello	Katlolo, tšhoho, le khatello ke matšoao a lentsoe le leng; M
20	'meli	mmedi	borena ba Molimo ha A bua le uena 'me e 'meli ea ho qetela e leka mme e{{0}}
20	sechaba	setjhaba	ula e nang e le tsohang"; ho hlaha hore sechaba se otliloeng ke komello se ne se
20	khone	kgone	pelang "o lokela ho rapela hore a tle a khone ho hlalosa" (1 Corinthians 14:13,
20	liliba	diliba	ana ea seliba se cheklitsoeng, eseng ea liliba se fumanoeng ka mahlohonolo. Ke k
20	itlhoahlaotsa	itlhwahlaotsa	a ke bokhoni bo ithutoang: "re hloka ho itlhoahlaotsa le ho ithuta bokhoni ba ho
19	sebelisang	sebedisang	misa litsela tse ngata tseo Molimo a li sebelisang — mo lebelle ho tsona tsohle:
19	letšoao	letshwao	hileng oa ho ithuta bokhoni bona, eseng letšoao la hore u oa hloleha. Phenyo e l
19	liteko	diteko	1) Bobe bo tla tlisa liteko, litlhahiso, mehopolo e bohloko e
19	mekhoa	mekgwa	, letho ha le na thuso, joalo-joalo. Ke mekhoa ea mehopolo e u tsietsang le ho u
19	Litsela	Ditsela	Thuto ea 3 · Litsela tse ngata tseo A buang ka tsona
19	khutso	kgutso	Ka khutso, ka litsela tse tloaelehileng
19	etsoa	etswa	. Ke ho utloa, ho lekiloe, mme ha etsoa ka eona — bakeng sa hau ka boeena.
19	senoelo	senwelo	Tlisa senoelo se seholoanyane — mohau le tumel
18	ngotsoeng	ngotsweng	Moya ha o ke o hanyetsane le Lentsoe le ngotsoeng, mme lentsoe la hae, joalokaha
18	lentsoeng	lentsweng	g ka eona ke eona hantle eo u e tlisang lentsoeng bakeng sa motho e mong.
18	tšelisa	tshedisa	lalo e leng ho aha, ho khothatsa, le ho tšelisa — le sireleditsoe ke "tantsho" e
18	Mantsoe	Mantswe	Mantsoe a mararo:
18	ntša	ntsha	a teng ka lentsoe le phahameng. Thuto e ntša qeto e tebileng: tekanyo ea tumelo
18	Pauluse	Pauduse	eo e e phethang, joalo ka ha re boneng Pauluse a rapela ha raro hore lehlaba le
18	fanoeng	fanweng	tso. Vallotton o lemosa hore lentsoe le fanoeng "ha re se na kamano kapa boikara
17	khaotsa	kgaotsa	tsela tse ngata tseo A buang ka tsona — khaotsa ho leta lentsoe
17	thehiloe	thehilwe	Moya o Halalelang / prophetic-school. E thehiloe holim'a
17	lintlha	dintlha	huto ea 1), kopa Moya ho hong ka eena — lintlha, khothatso, ho hong hoo a nyamel
17	borapeli	borapedi	koetlisa leru lena la thabo, boprofeta, borapeli, ho tlala Moya o Halalelang, ho
17	tshoara	tshwara	Polelo eo u lokelang ho e tshoara
17	litšepiso	ditshepiso	le kano/litšepiso tse tsoang ntlheng ea hore o r
17	boitloaetso	boitlwaetso	Ho itlhoahlaotsa ka neo (boitloaetso bo bonolo / ho "botsisisa" l
16	lumelang	dumelang	ka seo u se lumelang ho tsoa ho Molimo se
16	tataisoang	tataiswang	tataisoang ke Moya oa Molimo
16	hahiloe	hahilwe	ya o Halalelang / prophetic-school. E hahiloe ho
16	khothatsang	kgothatsang	lileng kelellong ea hau. Bua lentsoe le khothatsang. Fana ka ntho e nyenyane. Ea
16	behiloeng	behilweng	eng feela bafodisi ba pakiloeng kapa ba behiloeng.
16	tšepahalang	tshepahalang	le o mong o phethahetseng ke bopaki bo tšepahalang ba hore u ntse u mo utloa —
15	tiisitsoeng	tiisitsweng	ela le ka mohla — ke eona feela tsela e tiisitsoeng ea ho se hole.
15	balumeli	badumedi	Molimo o bua ka lentsoe le phahameng ho balumeli ba hōlileng
15	mosali	mosadi	alalelang. Mosebetsi oa hau, monna kapa mosali oa hau, thato ea hau, mehopolo, m
15	Lithuto	Dithuto	seo se tlileng ka eona. Ke moo Lithuto tsa 1 le 2 li kenellang teng. Le
15	tšoere	tshwere	" — eseng "Morena o re joana." U ntse u tšoere molala oa
15	Setšoantšo	Setshwantsho	. Setšoantšo sa thuto se tloaelehile 'me s
15	etsoang	etswang	nyane, se haufi, se sa beheng kotsi, se etsoang ka bohlale. Ka ntle:
15	tsoele	tswele	ohlelletsong ea moea, e le hore u tle u tsoele pele u e-na le khotso.
15	likolo	dikolo	: "batla likolo tse nepahetseng lefatšeng ka boph
15	thetsoa	thetswa	anong le Mangolo… e le hore ke se ke ka thetsoa" le hore u utloe "ka boitsetseho
15	Che	Tjhe	ke ka lebaka leo u ngolang pele u bua. "Che" e 'nete e u ruta ho lekana le "e" m
15	reretsoe	reretswe	ho Moea o Halalelang o leng bokhelohi o reretsoe thapelo ea boemeli le ho o isa
14	lefatšeng	lefatsheng	aeba u romelletse Jesu e le Mora oa hao lefatšeng mme a shoela sefapanong bakeng
14	matšoao	matshwao	Katlolo, tšhoho, le khatello ke matšoao a lentsoe le leng; Moya o Halale
14	utloahalang	utlwahalang	Jesu 'me le mo hlompha, eseng kamoo le utloahalang kateng.
14	lebisitsoe	lebisitswe	seo A se boneng. Tataiso e lebisitsoe ketsong — ho utloa ho sa sisi
14	beang	byang	bo. Mpho e latelang eo thuto ea hau e e beang haufi le eona ke
14	senoloa	senolwa	olela moea oa ka makunutu 'me hamorao a senoloa boko ba ka
14	boloetse	bolwetse	ka le le leng le tšoarelo. Thuto e beha boloetse le sebe maemong a a tšoanang se
14	'meleng	mmeleng	tloa ho tloha Lithuto 1–4, e leba joale 'meleng o pel'a hau. O u hlohlelletsa ho
14	Khaolo	Kgaolo	, Khaolo{{0}}9 ("Practicing Prophecy," maq
14	che	tjhe	boitoanyo. Haeba u ipumana u phehisana "che, e tlameha ho bolela…," u khaotsile
14	lia	dia	a hamorao", p.{{0}}45), mme diphetho ha lia ka tsa ba ntlha ea ho lekanya tumelo
13	lefatše	lefatshe	"Hobane Molimo o ratile lefatše hakalo, o bile a fana ka Mora oa
13	bofokoli	bofokodi	tšhoho, kapa boitlhakisi → e tšoare ka bofokoli mme u e lekole ka Lengolo pele
13	haholoanyane	haholwanyane	Leta letšoao le leng le hlakileng haholoanyane
13	lule	dule	e qala ka 'kutlo moo u leng teng' mme u lule u e-na le boikarabelo — e nyenyane
13	mocha	motjha	ela le eona, 'me le eona hase mohloli o mocha oa matla: ke ho utloa ho ts'oanang
13	pontšo	pontsho	oloho ea hau hae. Ho bua ka maleme hase pontšo — ke mokhoa oa ho "bolaya puso ea
13	speaking	spyaking	— "Gift of speaking in different tongues", pp.{{0}}
13	utloahale	utlwahale	oa thuto ka boeona o etsa hore sena se utloahale. Ha a rapela ka maleme "ho khu
13	Khetha	Kgetha	Khetha nako e nang le lerata
13	baloa	balwa	Mohloli oa motheo oa ho baloa bekeng ena:
13	tšimo	tshimo	tšimo e sa lengoang
12	secha	setjha	re file Moya o Halalelang selekaneng se secha.{{0}} Ha re batla ho hola kamanong
12	leholimong	lehodimong	oe la Molimo ka boiteko kapa u finyelle leholimong le hole. Moya o Halalelang o
12	maholimo	mahodimo	ba lona limpho tse molemo, na Ntate oa maholimo a ke ke a feta ho
12	Mokhoa	Mokgwa	Mokhoa oa ho utloa Moya o Halalelang
12	lumellanang	dumellanang	lumellanang le Lengolo
12	sekheo	sekgeo	4. Tlatsa sekheo: lentsoe la Moya o Halalelang "le
12	litlhahlobo	ditlhahlobo	E lekole ka litlhahlobo tse tharo
12	Khotso	Kgotso	Khotso e lebisitseng thatong ea Hae?
12	tsoelang	tswelang	Tataiso e tshepisitsoe e le mosebetsi o tsoelang pele oa Moya — eseng ketsahalo
12	motsoalle	motswalle	, khotso, tšusumetso, boemo, lentsoe la motsoalle, temana e amang pelo. Tsena ke
12	tsamaisoa	tsamaiswa	tsamaisoa
12	eang	yang	moo e eang teng
12	Khale	Kgale	akeng tsa Baporofeta ba Testamenteng ea Khale le ba Testamenteng e Ncha", pp.{{0
12	tšoereng	tshwereng	utloa moea o mobe, o bona "lengeloi le tšoereng sabole e phunyeletsoeng haufi l
12	buuoa	buuwa	ng sa hau, ha ho lebisoe bochabeng — ho buuoa ho Molimo, 'me ho tlisa "makunutu"
12	Oa	Wa	Oa pele ke setšoantšo sa Pentekonta — "b
12	meeli	meedi	ime hoo; e hlohlelletsa sebete ka har'a meeli eo. Tumelo le teko (Thuto 1) ke ba
12	felile	fedile	Ka ho nahana ho fihlela pelaelo e felile
12	tloaetseng	tlwaetseng	e ba tsamaea le mphong ea boprofeta… Ba tloaetseng ho tsamaea Moeeng o Halalelan
12	lipapali	dipapadi	lotton a bapisang diari le lifilimi tsa lipapali:
12	litlhaku	ditlhaku	receive from it{{1}} — mongolo o na le litlhaku tse hlano, v‑a‑l‑u‑e.
12	bolaoli	bolaodi	nahala eka ho na le keketseho matleng a bolaoli. Empa ke lumela hore ke keketseh
12	lekantsoeng	lekantsweng	Seo se siea potso e hlakileng e lekantsoeng. Haeba lentsoe le fosahetsen
12	linaledi	dinaledi	Thuto 40 · Lerole, lehlabathe le linaledi
12	hlahlobiloe	hlahlobilwe	, leq. 83 · e hlahlobiloe hape ho tloha ho L37/L48
12	nngoe	nngwe	, e seng ketsahalo e le nngoe: kaha "'nete ea hore u rapela ka m
11	tšaba	tshaba	. Ho tšaba ho fosa — 'me ka lebaka leo u se k
11	koala	kwala	ka o etsang ha u tsamaea ho e-na le ho koala mahlo? Feela mpotse ka moqoqong.
11	litakatso	ditakatso	— litakatso tsa 'mele
11	khutsitse	kgutsitse	Lula u khutsitse, hopola ho hong hoo u kileng u
11	khoebo	kgwebo	le boemo — "khoebo kapa bana ba rona, lenyalo kapa b
11	molumeli	modumedi	tlhaloso ea mpho ena bakeng sa molumeli oa Testamente e Ncha.
11	sebelisoang	sebediswang	kamehla: khutšoane, e thehiloeng, e ka sebelisoang hang-hang — hang ha ho rapel
11	bontša	bontsha	e nka mpho ea ho qetela ea matla 'me e bontša hore e sebetsa ka mochini o tšoan
11	Boitoanyo	Boitwanyo	. Boitoanyo bo bonolo ka ho fetisisa ba Va
10	lumele	dumele	ile ha u ithuta. Balumeli ba bang ha ba lumele hore motho o ka utloa Moya o Hala
10	khalemela	kgalemela	kahale ho feta metsotsoana e 30. Ebe re khalemela mantsoe ohle a bobe a ka buang
10	holisa	hodisa	hape §3. Thuto e re tloaelo ka boeona e holisa bokhoni ba hau ba ho khetholla le
10	tšoare	tshware	Khatello, tšhoho, kapa boitlhakisi → e tšoare ka bofokoli mme u e lekole ka Len
10	bontšang	bontshang	la e thathamisa litsela tseo Lengolo le bontšang A li sebelisa:
10	'maloa	mmalwa	a ka buang ka tsona. A re boleleng tse 'maloa:"
10	khetha	kgetha	Kahoo khetha ntho e
10	tšeletseng	tsheletseng	Ho amohela ke mehlano feela ea mehato e tšeletseng; oa botšelela —
10	bocha	botjha	a ke litaba tse monate: hase bokhoni bo bocha. Ke ho utloa oo u seng u ho etsa,
10	babeli	babedi	e lahlehileng li fumanoe, hore banna ba babeli ba tla mo kopana lebitleng la Rag
10	Bukantsoe	Bukantswe	Bukantsoe
10	mabeli	mabedi	Lebitso le le leng, mantsoe a mabeli.
10	lifilimi	difidimi	ebaka leo Vallotton a bapisang diari le lifilimi tsa lipapali:
10	liehile	diehile	oe (ho le nyatsa, ho le lahla hobane le liehile) — 'me e u tataisa lipakeng tsa
10	liheke	diheke	Balebeli ba liheke ba bona kamore eohle — thoriso, t
10	chekileng	tjhekileng	ataiso e tla habonolo joalo ka motho ea chekileng ka mor'a metsi seliba mme a fu
10	tšepisa	tshepisa	Ha Molimo A tšepisa, O a e etsa." Ke sephiri se tebi
10	selikalikoe	sedikadikwe	selikalikoe sa maikutlo
9	shoela	shwela	e Jesu e le Mora oa hao lefatšeng mme a shoela sefapanong bakeng sa bohle. Le ba
9	khutšoane	kgutshwane	hlakileng e tsoang thutong ea hau. E le khutšoane ka boomo: e etse, u se ke ua e
9	libe	dibe	Baka libe tsohle tseo u li tsebang
9	Lumella	Dumella	Lumella Moya o Halalelang ho bua
9	tšireletso	tshireletso	olimo. Seo se tloaelehile, 'me ho na le tšireletso. Lengolo le re bolella hore r
9	siea	siya	oya o Halalelang o kopanya bonolo mme o siea khotso. Mme litaba tse monate baken
9	lipakeng	dipakeng	oa kutloisiso — ho tseba phapang lipakeng tsa
9	shoa	shwa	"Hobane haeba le phela ka nama, le tla shoa; empa haeba ka Moya le bolaea liket
9	'mapa	mmapa	Thuto ea hau e hlalosa 'mapa oa motho ka hare. E bitsa likarolo
9	oela	wela	re khetholle meea e le hore re se ke ra oela leraping la Satane. Leha ho le joal
9	leano	lyano	ka boeena, le fetolang temoso hore e be leano la lerato:
9	evangeli	evangedi	na o etse eng — karabo ke "phatlalatsa evangeli ho monna eo" e le hore "lengelo
9	tšabong	tshabong	"Ho khetholla meea ha ho tsoe tšabong 'me hase moea oa ho nyatsa.
9	liphetho	diphetho	boholo le tseba literata 'me le fumana liphetho tseo le secha le sa kang la li
9	lahleheloa	lahlehelwa	mehlolo e sebetsa ka ho utloa, joale ho lahleheloa ke lentsoe ke ntho e le 'ngoe
9	sebelisoe	sebediswe	" li ntse li e-na le tse ngata tse e-so sebelisoe, li itokiselitse bakeng sa moh
9	bolumeli	bodumedi	Ho ithuta thuto ea bolumeli haholoanyane u le mong feela
9	khutšoanyane	kgutshwanyane	khoeli la kajeno, ebe u beha libaka tse khutšoanyane tse 'ne:
9	likemello	dikemello	Hang ha u e-na le libeke tse 'maloa tsa likemello, mohato o latelang o tloaelehi
9	sechabeng	setjhabeng	Thuto ea 22 · Fumana leru — kena sechabeng se tletseng Moya o Halalelang
9	amoheloa	amohelwa	o amoheloa ka ho rapela (Thuto 21) — le, k
9	barutuoa	barutuwa	"barutuoa ba ile ba tsamaea leeto le lele
9	lilemo	dilemo	ka ho ithuta u le mong ka lilemo tse ngata
9	likenyo	dikenyo	sela tse peli li a bulehela mona. Haeba likenyo tsa jenale ea hao li ntse li eke
9	litholoana	ditholwana	elelo eo u e mameletseng e e-so hlahise litholoana). Ha u batla, re ka nka thuto
9	'Molimo	'Modimo	tsa bona ka, 'Morena o mpolletse…' kapa 'Molimo o mpolletse….'
9	Infilling	Infilding	Infilling of the Holy Spirit — Anointing
9	phetiloe	phetilwe	l. 20–22 (Mareka 8:34–35, joalo ka ha e phetiloe)
8	khethehileng	kgethehileng	Ho utloa Molimo hase mpho ea batho ba khethehileng moeeng. E tsoa kamanong eo
8	Luke	Duke	Luke 11:13
8	tloaelehile	tlwaelehile	aikutlo a rona bakeng sa Molimo. Seo se tloaelehile, 'me ho na le tšireletso. Le
8	tšepa	tshepa	ho Moya o Halalelang, kapa ho se ke ra tšepa letho:
8	joalokaha	jwalokaha	ntsoe le ngotsoeng, mme lentsoe la hae, joalokaha thuto e hlalosa,
8	khethollang	kgethollang	bo eketseha. Tloaelo e hlakisa kamoo u khethollang lentsoe la Hae ho kelello ea
8	makhetlo	makgetlo	"Ke ngata makhetlo Molimo a buang ka Lengolo empa
8	tsoe	tswe	fe kapa efe e hanyetsanang le eona ha e tsoe ho Eena. 'Me thuto e hlakisa hore b
8	lipotso	dipotso	u fana ka mantsoe ka boikokobetso e le lipotso — e seng ho leta bonnete, 'me le
8	utloela	utlwela	Joale u khona ho utloela motho e mong 'me ua fana ka boik
8	Lintho	Dintho	Holy Spirit Course · p. 47 · Lintho tse tharo tseo moprofeta a ka li
8	boleloang	bolelwang	boleloang
8	isoa	iswa	p. 47. Kutloisiso e mpe ha e boleloe; e isoa thapelong ea boemeli, tlas'a mali a
8	loana	lwana	ne ha re loane le nama le mali, empa re loana le babusi, le ba nang le matla, le
8	ikemiselitseng	ikemiseditseng	o ka boeona: ha a talimane le monna "ea ikemiselitseng ho bolaea motho," ea khet
8	Tšabo	Tshabo	olimo, le lerato, li sebetsana le sona. Tšabo, nyatso, le seporo ke matšoao a nn
8	tsosoa	tsoswa	meholo ea phekolo. Ba bang bakeng sa ho tsosoa ha bafu."
8	lekhetlong	lekgetlong	— a fodile, karolo, hamorao, kapa eseng lekhetlong lena — u sa etse kapa u qobel
8	Elia	Edia	lang e behetsoe li-giant feela — Moshe, Elia, Elisha. Mohato oa pele oa thuto ke
8	tloaelong	tlwaelong	le boprofeta ka boomo — tsohle li tsoa tloaelong e le 'ngoe ea ho mamela ea let
8	entsoeng	entsweng	. Ke sona sepheo sa thuto ena eohle, se entsoeng sa tloaeleha.
8	sebelise	sebedise	ohlala oa diari. Ha ho hlokahale hore u sebelise liforomo tsa hae tse hatisitsoe
8	siiloeng	siilweng	4. Tlatsa lebato le siiloeng ho tsoa ho Vallotton: "The ____
8	Tsoela	Tswela	Tsoela pele ho noa seliba
8	lekoa	lekwa	oly Spirit Course · p. 14 · Ha tumelo e lekoa
8	khauta	kgauta	liapole tsa khauta pitsaneng ea silefera
8	meeling	meeding	meeling ea nokana
8	khopo	kgopo	pelo e khopo
8	tšepahala	tshepahala	tšepahala ka boemo ba temoho boo re nang
